City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,atuona,8,PF,1522610599,100,-9.8,-139.03,81.41,15.01
89,khatanga,64,RU,1522610592,67,71.98,102.47,-4.81,12.66
90,matay,0,EG,1522610592,37,28.42,30.79,69.44,10.2
91,khor,12,RU,1522610592,82,47.88,134.96,33.44,8.08
92,ilula,44,TZ,1522610600,87,-7.68,36.04,64.31,3.38
93,kangaatsiaq,0,GL,1522610601,100,68.31,-53.46,27.86,8.41
94,ilulissat,20,GL,1522608600,50,69.22,-51.1,28.4,1.12
95,cherskiy,88,RU,1522610602,77,68.75,161.3,25.88,8.3
96,moose factory,75,CA,1522609200,41,51.26,-80.61,19.4,12.75
97,beringovskiy,8,RU,1522610595,89,63.05,179.32,21.47,6.73
98,kapaa,75,US,1522608960,88,22.08,-159.32,73.4,4.7
99,hambantota,48,LK,1522610595,100,6.12,81.12,82.76,6.73
100,carnarvon,56,ZA,1522610603,41,-30.97,22.13,70.07,7.96
101,jumla,0,NP,1522610596,87,29.28,82.18,21.11,2.04
102,hof,90,DE,1522608960,93,50.32,11.92,39.2,4.7
103,nezhinka,75,RU,1522607400,93,51.77,55.37,32.0,2.24
104,svetlogorsk,90,RU,1522607400,73,53.14,59.15,24.8,8.95
105,kodiak,90,US,1522607880,100,39.95,-94.76,24.8,8.05
106,narasannapeta,88,IN,1522610606,91,18.42,84.04,70.88,3.27
107,lompoc,1,US,1522609080,77,34.64,-120.46,64.4,3.36
108,hobart,75,AU,1522609200,58,-42.88,147.33,55.4,8.05
109,saint-philippe,90,CA,1522609200,43,45.36,-73.48,37.4,21.92
110,rairangpur,88,IN,1522610600,89,22.27,86.18,67.28,2.82
111,busselton,0,AU,1522610608,100,-33.64,115.35,62.06,17.47
112,nikolskoye,0,RU,1522607400,69,59.7,30.79,35.6,13.42
113,yantzaza,68,EC,1522610601,85,-3.83,-78.76,72.59,2.82
114,tiksi,0,RU,1522610601,36,71.64,128.87,-10.75,3.83
115,aller,90,GB,1522608600,93,51.06,-2.86,41.0,11.41
116,doha,0,QA,1522605600,44,25.29,51.53,75.2,9.17
117,port lincoln,0,AU,1522610609,100,-34.72,135.86,59.63,12.1
118,bandarbeyla,48,SO,1522610602,100,9.49,50.81,81.41,8.86
119,saldanha,80,PT,1522610610,52,41.42,-6.55,56.93,10.76
120,shahr-e babak,0,IR,1522610611,23,30.12,55.12,53.06,5.5
121,sartana,8,UA,1522610603,71,47.17,37.7,53.24,14.0
122,padang,20,ID,1522610603,100,-0.92,100.36,82.22,6.29
123,kampong thum,0,KH,1522610603,92,12.71,104.89,73.4,3.71
124,coahuayana,0,MX,1522610604,29,18.62,-100.35,87.08,3.04
125,malanje,12,AO,1522610604,88,-9.54,16.35,71.78,2.48
126,tuktoyaktuk,90,CA,1522609200,92,69.44,-133.03,15.8,12.75
127,alyangula,0,AU,1522610605,100,-13.85,136.42,83.57,1.36
128,mildura,0,AU,1522610605,67,-34.18,142.16,60.08,9.31
129,zheleznodorozhnyy,90,RU,1522607400,97,55.75,38.0,35.6,15.66
130,whitehaven,90,US,1522608840,68,35.03,-90.03,66.2,4.7
131,praia da vitoria,40,PT,1522609200,87,38.73,-27.07,59.0,29.33
132,rongcheng,80,CN,1522610606,95,37.16,122.42,45.14,10.42
133,byron bay,90,AU,1522609200,94,-28.65,153.62,71.6,4.7
134,vestmannaeyjar,32,IS,1522610606,87,63.44,-20.27,39.65,17.25
135,laguna,90,MX,1522608360,17,27.52,-110.01,82.4,4.7
136,castro,0,CL,1522610607,73,-42.48,-73.76,61.61,4.38
137,san quintin,40,PH,1522605600,78,17.54,120.52,73.4,3.15
138,namatanai,36,PG,1522610616,100,-3.66,152.44,81.23,7.18
139,kavieng,12,PG,1522610608,100,-2.57,150.8,83.93,12.1
140,araouane,12,ML,1522610609,15,18.9,-3.53,97.34,3.38
141,tashtyp,0,RU,1522610609,71,52.8,89.89,13.73,6.29
142,hun,20,BE,1522608900,75,50.34,4.87,42.8,4.7
143,gawler,75,AU,1522609200,77,-34.6,138.75,62.6,9.17
144,sitka,88,US,1522610618,45,37.17,-99.65,39.29,10.98
145,porteirinha,8,BR,1522610618,58,-15.74,-43.03,85.91,4.5
146,husavik,24,CA,1522610610,100,50.56,-96.99,24.26,16.46
147,lensk,12,RU,1522610619,65,60.71,114.91,12.29,6.4
148,kavaratti,0,IN,1522610619,100,10.57,72.64,84.11,3.38
149,bambous virieux,40,MU,1522609200,83,-20.34,57.76,80.6,6.93
150,sisimiut,0,GL,1522610612,90,66.94,-53.67,30.74,1.81
151,provideniya,68,RU,1522610577,95,64.42,-173.23,27.59,3.94
152,burns lake,32,CA,1522610620,45,54.23,-125.76,21.47,5.17
153,artesia,1,US,1522608780,28,32.84,-104.4,78.8,6.17
154,jutai,80,BR,1522610613,93,-1.71,-47.89,79.88,0.69
155,hallein,75,AT,1522608600,75,47.68,13.1,41.0,5.82
156,sayville,90,US,1522608960,54,40.74,-73.08,60.8,6.93
157,norman wells,90,CA,1522609200,79,65.28,-126.83,21.2,5.82
158,fortuna,0,ES,1522609200,71,38.18,-1.13,62.6,4.7
159,biga,92,TR,1522610623,90,40.23,27.24,55.04,11.88
160,katsuura,20,JP,1522610590,89,33.93,134.5,51.26,3.15
161,teknaf,48,BD,1522610615,87,20.86,92.31,74.12,3.15
162,quang ngai,8,VN,1522610615,91,15.12,108.8,57.29,2.59
163,georgetown,40,GY,1522609200,55,6.8,-58.16,89.6,13.87
164,port-gentil,75,GA,1522609200,88,-0.72,8.78,80.6,9.17
165,faanui,76,PF,1522610624,100,-16.48,-151.75,82.31,17.13
166,quatre cocos,40,MU,1522609200,83,-20.21,57.76,80.6,6.93
167,bubaque,0,GW,1522605600,49,11.28,-15.83,89.6,9.17
168,matamoros,20,US,1522608900,55,25.87,-97.51,89.6,20.8
169,svirstroy,24,RU,1522610629,91,60.8,33.72,28.13,7.96
170,uvat,32,RU,1522610621,89,59.14,68.9,22.19,7.74
171,hovd,0,NO,1522608600,59,63.83,10.7,35.6,2.24
172,panaba,12,MX,1522610622,51,21.28,-88.27,87.89,4.05
173,lowestoft,75,GB,1522608600,86,52.48,1.75,41.0,5.82
174,yaan,12,NG,1522610622,46,7.38,8.57,90.77,10.76
175,nanortalik,0,GL,1522610622,100,60.14,-45.24,34.61,43.2
176,imeni poliny osipenko,12,RU,1522610631,74,52.42,136.49,12.02,0.92
177,kandrian,36,PG,1522610623,91,-6.21,149.55,77.81,6.17
178,college,90,US,1522609080,74,64.86,-147.8,32.0,8.05
179,nileshwar,8,IN,1522610632,100,12.25,75.1,84.11,6.85
180,kruisfontein,48,ZA,1522610624,96,-34.0,24.73,67.91,10.09
181,dingle,12,PH,1522610624,96,11.0,122.67,70.25,5.84
182,port blair,88,IN,1522610624,100,11.67,92.75,83.12,7.74
183,faya,5,SA,1522605600,37,18.39,42.45,66.2,8.05
184,alikalia,64,SL,1522610633,59,9.15,-11.39,85.37,3.38
185,codrington,92,AU,1522610625,97,-28.95,153.24,65.39,2.71
186,magrath,90,CA,1522609200,73,49.42,-112.86,19.4,9.17
187,coquimbo,75,CL,1522605600,77,-29.95,-71.34,60.8,11.41
188,saint george,20,GR,1522608600,54,39.45,22.34,53.6,5.82
189,lethem,56,GY,1522610627,31,3.38,-59.8,95.36,15.46
190,port alfred,20,ZA,1522610635,84,-33.59,26.89,73.94,13.67
191,arraial do cabo,0,BR,1522605600,62,-22.97,-42.02,87.8,23.04
192,kamsack,1,CA,1522609200,61,51.56,-101.9,15.8,14.99
193,buala,44,SB,1522610627,98,-8.15,159.59,80.15,5.73
194,marsh harbour,88,BS,1522610432,100,26.54,-77.06,72.5,11.32
195,nampula,75,MZ,1522609200,88,-15.12,39.26,75.2,2.15
196,vanimo,100,PG,1522610628,100,-2.67,141.3,76.46,9.64
197,rodeo,0,MX,1522610629,21,25.18,-104.56,82.58,3.83
198,huntsville,90,US,1522609080,46,34.73,-86.59,73.4,9.17
199,victoria,75,BN,1522609200,94,5.28,115.24,77.0,1.12
200,mongo,32,CF,1522610638,56,4.83,22.92,84.92,4.38
201,kalmunai,24,LK,1522610630,97,7.42,81.82,76.01,3.27
202,fairbanks,90,US,1522609080,74,64.84,-147.72,32.0,8.05
203,mar del plata,0,AR,1522610510,35,-46.43,-67.52,72.14,9.19
204,catuday,24,PH,1522610639,100,16.29,119.81,76.91,4.83
205,mersin,0,TR,1522608600,67,36.81,34.63,60.8,1.12
206,mizoch,92,UA,1522610640,100,50.4,26.14,44.69,21.72
207,vila velha,20,BR,1522609200,74,-3.71,-38.6,84.2,13.87
208,batagay-alyta,36,RU,1522610633,51,67.8,130.41,-5.26,3.49
209,gulbene,92,LV,1522610641,96,57.18,26.75,35.96,25.64
210,ilo,0,PE,1522610633,71,-17.65,-71.34,72.59,4.27
211,quchan,76,IR,1522610642,94,37.11,58.51,34.16,2.59
212,carutapera,80,BR,1522610634,100,-1.2,-46.02,78.71,4.72
213,marihatag,36,PH,1522610634,100,8.8,126.3,81.68,16.58
214,nome,75,US,1522608900,51,30.04,-94.42,80.6,12.75
215,meulaboh,64,ID,1522610635,100,4.14,96.13,76.55,4.27
216,sinnamary,88,GF,1522610635,96,5.38,-52.96,80.42,8.19
217,tadine,88,NC,1522610643,94,-21.55,167.88,79.79,19.82
218,miyako,48,JP,1522607400,82,33.63,130.94,59.0,3.36
219,kaka,80,TM,1522610636,100,37.35,59.62,39.38,3.49
220,sechura,36,PE,1522610636,71,-5.56,-80.82,80.15,8.19
221,penne,0,IT,1522608600,81,42.45,13.93,50.0,3.36
222,rosarito,75,CO,1522609200,74,4.91,-75.23,78.8,4.7
223,colesberg,20,ZA,1522610637,44,-30.72,25.1,62.69,3.94
224,sao gabriel da cachoeira,24,BR,1522610637,63,-0.13,-67.09,88.34,2.82
225,cayenne,88,GF,1522609200,88,4.94,-52.33,78.8,5.82
226,los llanos de aridane,20,ES,1522609200,63,28.66,-17.92,66.2,3.36
227,rawson,0,AR,1522610637,33,-43.3,-65.11,77.72,16.13
228,awjilah,0,LY,1522610638,23,29.14,21.3,72.77,2.93
229,nyurba,0,RU,1522610638,56,63.29,118.35,11.57,5.61
230,tuatapere,24,NZ,1522610638,89,-46.13,167.69,60.26,18.81
231,timmins,75,CA,1522609200,41,48.48,-81.33,21.2,9.17
232,eureka,20,US,1522609560,76,40.8,-124.16,53.6,8.05
233,daru,56,SL,1522610639,66,7.99,-10.85,85.82,4.27
234,atar,48,MR,1522610648,14,20.52,-13.05,90.95,3.83
235,lake charles,75,US,1522610100,50,30.23,-93.22,78.8,8.05
236,sola,0,FI,1522608600,49,62.78,29.36,24.8,2.24
237,komsomolskiy,44,RU,1522610641,68,67.55,63.78,-1.39,7.74
238,thaba-tseka,88,LS,1522610641,51,-29.52,28.61,55.13,1.36
239,pangnirtung,90,CA,1522609200,51,66.15,-65.72,37.4,14.99
240,vitim,68,RU,1522610641,63,59.44,112.57,16.61,6.4
241,flinders,80,AU,1522605600,93,-34.58,150.85,64.4,5.82
242,port moresby,5,PG,1522605600,100,-9.47,147.16,75.2,4.7
243,hofn,44,IS,1522610642,100,64.25,-15.21,30.74,2.26
244,guerrero negro,12,MX,1522610643,76,27.97,-114.04,65.21,6.17
245,tunceli,0,TR,1522608600,70,39.11,39.55,48.2,6.93
246,cap malheureux,40,MU,1522609200,83,-19.98,57.61,80.6,6.93
247,bunga,80,ID,1522610652,100,0.98,120.76,78.26,1.14
248,upernavik,64,GL,1522610644,95,72.79,-56.15,24.53,4.83
249,marabba,0,SD,1522610653,22,12.35,32.18,84.11,8.97
250,viseu de sus,80,RO,1522610645,96,47.72,24.43,34.07,4.94
251,chokurdakh,0,RU,1522610653,30,70.62,147.9,-20.11,4.61
252,mount gambier,8,AU,1522610646,83,-37.83,140.78,56.12,5.73
253,houma,0,CN,1522610646,76,35.63,111.36,46.67,2.04
254,odesskoye,8,RU,1522610646,80,54.21,72.97,15.71,9.75
255,crawfordsville,75,US,1522610100,64,40.04,-86.9,44.6,9.17
256,naklo nad notecia,90,PL,1522609200,100,53.14,17.6,32.0,19.46
257,narsaq,0,GL,1522608600,24,60.91,-46.05,44.6,34.45
258,oksfjord,0,NO,1522608600,54,70.24,22.35,30.2,18.34
259,vila franca do campo,40,PT,1522609200,72,37.72,-25.43,60.8,17.22
260,hopatcong,64,US,1522610100,53,40.93,-74.66,57.2,9.17
261,ola,90,RU,1522605600,100,59.58,151.3,21.2,2.24
262,tezu,12,IN,1522610649,51,27.93,96.16,59.27,2.04
263,ferkessedougou,44,CI,1522610649,51,9.6,-5.2,89.06,5.06
264,batsfjord,0,NO,1522608600,72,70.63,29.72,28.4,11.41
265,te anau,24,NZ,1522610649,75,-45.41,167.72,52.16,13.89
266,qaqortoq,0,GL,1522608600,24,60.72,-46.03,44.6,34.45
267,dunstable,92,GB,1522608600,80,51.89,-0.52,44.6,3.36
268,salalah,0,OM,1522605000,78,17.01,54.1,82.4,3.36
269,rehoboth,76,NA,1522610651,55,-23.31,17.08,71.24,5.06
270,long eaton,75,GB,1522608600,100,52.9,-1.27,41.0,10.29
271,jackson,90,US,1522608960,93,35.61,-88.82,71.6,6.93
272,muros,0,ES,1522609200,58,42.77,-9.06,55.4,13.87
273,tomatlan,8,MX,1522610652,44,19.93,-105.25,87.44,3.71
274,imbituba,20,BR,1522605600,74,-28.24,-48.67,82.4,4.7
275,vestmanna,80,FO,1522608600,100,62.16,-7.17,32.0,12.75
276,esperance,40,TT,1522609200,48,10.24,-61.45,87.8,16.11
277,airai,0,TL,1522610661,87,-8.93,125.41,66.11,0.69
278,vaitape,48,PF,1522610653,98,-16.52,-151.75,82.31,15.9
279,techiman,24,GH,1522610653,72,7.58,-1.94,87.26,2.93
280,geraldton,90,CA,1522609200,38,49.72,-86.95,23.0,17.22
281,grindavik,75,IS,1522607400,64,63.84,-22.43,39.2,21.92
282,keetmanshoop,40,NA,1522605600,57,-26.57,18.15,77.0,3.38
283,nantucket,20,US,1522610100,71,41.28,-70.1,53.6,23.04
284,lagoa,0,PT,1522609200,72,37.14,-8.45,59.0,2.24
285,bahia blanca,0,AR,1522610663,64,-38.72,-62.27,71.78,11.99
286,bilma,0,NE,1522610664,19,18.69,12.92,78.26,5.84
287,tura,8,IN,1522610664,83,25.52,90.21,65.12,3.04
288,sandwick,76,GB,1522605000,80,54.57,-2.89,35.6,10.29
289,taoudenni,0,ML,1522610657,16,22.68,-3.98,90.59,2.71
290,torbay,75,CA,1522609200,44,47.66,-52.73,39.2,27.51
291,escondido,1,US,1522608960,72,33.12,-117.08,66.2,6.93
292,saint-pierre,0,FR,1522609200,81,48.95,4.24,42.8,3.36
293,jalu,0,LY,1522610659,20,29.03,21.55,72.41,4.5
294,karratha,0,AU,1522610659,71,-20.74,116.85,77.54,3.15
295,baymak,88,RU,1522610667,88,52.6,58.31,27.77,11.65
296,shelopugino,68,RU,1522610659,39,51.65,117.56,22.55,11.43
297,kamenka,92,RU,1522610660,95,53.19,44.05,34.61,9.64
298,paamiut,0,GL,1522610660,89,61.99,-49.67,34.61,3.27
299,gerash,0,IR,1522605600,11,27.67,54.14,73.4,4.38
300,christchurch,8,NZ,1522609200,100,-43.53,172.64,42.8,3.36
